시간|이름|ID|타입|이동체크기(m)|x좌표|y좌표|이동속도(knot)|방향각|이동면적(m2)|전체면적(m2)|MPI
2021-05-09 23:48:54|아라곤1호|111|정사각형|8.0|216.46867246333568|1479.2293519127243|50.0|90.0|12222.14400000001|1000|12.2221440000000090009280029335059225559234619140625
2021-05-09 23:48:55|아라곤1호|111|정사각형|8.0|216.46867246333568|1504.9493519127243|50.0|90.0|12427.90400000001|1000|12.427904000000008721826816326938569545745849609375
2021-05-09 23:48:56|아라곤1호|111|정사각형|8.0|216.46867246333568|1530.6693519127243|50.0|90.0|12633.66400000001|1000|12.63366400000001021908246912062168121337890625
2021-05-09 23:48:57|아라곤1호|111|정사각형|8.0|216.46867246333568|1556.3893519127244|50.0|90.0|12839.42400000001|1000|12.8394240000000099399812825140543282032012939453125
2021-05-09 23:48:58|아라곤1호|111|정사각형|8.0|216.46867246333568|1582.1093519127244|50.0|90.0|13045.18400000001|1000|13.045184000000009660880095907486975193023681640625
2021-05-09 23:48:59|아라곤1호|111|정사각형|8.0|216.46867246333568|1607.8293519127244|50.0|90.0|13250.94400000001|1000|13.25094400000001115813574870117008686065673828125
2021-05-09 23:49:00|아라곤1호|111|정사각형|8.0|216.46867246333568|1633.5493519127244|50.0|90.0|13456.70400000001|1000|13.4567040000000108790345620946027338504791259765625
2021-05-09 23:49:01|아라곤1호|111|정사각형|8.0|216.46867246333568|1659.2693519127245|50.0|90.0|13662.46400000001|1000|13.662464000000010599933375488035380840301513671875
2021-05-09 23:49:02|아라곤1호|111|정사각형|8.0|216.46867246333568|1684.9893519127245|50.0|90.0|13868.224000000011|1000|13.8682240000000103208321888814680278301239013671875
2021-05-09 23:49:03|아라곤1호|111|정사각형|8.0|216.46867246333568|1710.7093519127245|50.0|90.0|14073.984000000011|1000|14.0739840000000118180878416751511394977569580078125
2021-05-09 23:49:04|아라곤1호|111|정사각형|8.0|216.46867246333568|1736.4293519127245|50.0|90.0|14279.744000000012|1000|14.279744000000011538986655068583786487579345703125
2021-05-09 23:49:05|아라곤1호|111|정사각형|8.0|216.46867246333568|1762.1493519127246|50.0|90.0|14485.504000000012|1000|14.4855040000000112598854684620164334774017333984375
2021-05-09 23:49:06|아라곤1호|111|정사각형|8.0|216.46867246333568|1787.8693519127246|50.0|90.0|14691.264000000012|1000|14.6912640000000127571411212556995451450347900390625
2021-05-09 23:49:07|아라곤1호|111|정사각형|8.0|216.46867246333568|1813.5893519127246|50.0|90.0|14897.024000000012|1000|14.897024000000012478039934649132192134857177734375
2021-05-09 23:49:08|아라곤1호|111|정사각형|8.0|216.46867246333568|1839.3093519127247|50.0|90.0|15102.784000000012|1000|15.1027840000000121989387480425648391246795654296875
2021-05-09 23:49:09|아라곤1호|111|정사각형|8.0|216.46867246333568|1865.0293519127247|50.0|90.0|15308.544000000013|1000|15.308544000000011919837561435997486114501953125
